id,word_freq,match,average_length,cluster_name
1352,"[('transafrica', 3), ('transafrican', 2), ('commerce', 1), ('pharmacetical', 1), ('pharmaceuticals', 1)]","['transafrican', 'transafrica']",2.0,transafrica transafrican
1353,"[('rock', 3), ('rok', 3), ('industries', 2), ('company', 1), ('seeds', 1)]","['rock', 'rok']",2.0,rock rok
1354,"[('kem', 2), ('booster', 1), ('kemi', 1), ('nova', 1)]","['kem', 'kemi']",2.0,kem booster
1355,"[('cenriver', 1)]",['cenriver'],1.0,cenriver
1356,"[('wilmax', 1)]",['wilmax'],1.0,wilmax
1357,"[('tufoam', 1), ('tuffoam', 1)]","['tufoam', 'tuffoam']",1.0,tufoam
1358,"[('alpha', 10), ('galpha', 3), ('vel', 1), ('vet', 1), ('lab', 1), ('feeds', 1), ('laboratories', 1), ('avet', 1), ('marketing', 1), ('packaging', 1), ('medical', 1), ('centre', 1), ('slopes', 1)]","['alpha', 'galpha', 'alpa']",2.0,alpha galpha
1359,"[('dk', 2), ('uganda', 1)]",['dk'],2.0,dk uganda
1360,"[('premier', 13), ('primier', 2), ('ltd', 2), ('licks', 2), ('saltlicks', 1), ('ind.', 1), ('plastics', 1), ('pressure', 1), ('manufactrurer', 1), ('cosmetics', 1), ('priemier', 1), ('industry', 1), ('seed', 1), ('foods', 1), ('industries', 1)]","['primier', 'priemier', 'premier']",2.0,premier primier
1361,"[('troniks', 1), ('tronics', 1)]","['troniks', 'tronics']",1.0,troniks
1362,"[('farmlnk', 1), ('farmlink', 1)]","['farmlnk', 'farmlink']",1.0,farmlnk
1363,"[('dekalb', 2), ('seeds', 2), ('dekalab', 1), ('dekalob', 1), ('delkalb', 1)]","['dekalab', 'dekalb', 'delkalb', 'dekalob']",1.0,dekalb
1364,"[('vbl', 1)]",['vbl'],1.0,vbl
1365,"[('bench', 6), ('beanch', 1), ('industries', 1), ('chemicals', 1), ('industry', 1), ('chem', 1), ('indusries', 1)]","['beanch', 'bench']",2.0,bench beanch
